datetime,balance
2022-01-05 09:01:09.918807,1e+20
2022-01-05 09:01:34.014294,1e+20
2022-01-05 09:01:43.595325,1e+20
2022-01-05 09:02:02.113910,1e+20
2022-01-05 09:03:38.836887,1e+20
2022-01-05 09:08:05.653165,1e+20
2022-01-05 09:09:21.714975,1e+20
2022-01-05 09:15:17.550667,1e+20
2022-01-05 09:17:47.188492,1e+20
2022-01-05 09:18:05.855022,1e+20
2022-01-05 09:18:35.636112,1e+20
2022-01-05 09:21:03.817996,1e+20
2022-01-05 09:22:06.288218,1e+20
2022-01-05 09:36:07.220901,1e+20
2022-01-05 09:36:07.229937,1e+20
2022-01-05 09:36:07.616050,1e+20
2022-01-05 09:37:05.668875,1e+20
2022-01-05 09:40:04.744869,1e+20
2022-01-05 09:46:06.521245,1e+20
2022-01-05 09:47:05.861833,1e+20
2022-01-05 09:48:04.772263,1e+20
2022-01-05 09:54:43.336720,1e+20
2022-01-05 10:05:04.915525,1e+20
2022-01-05 10:06:04.086767,1e+20
2022-01-05 10:08:10.128148,1e+20
2022-01-05 10:11:04.304811,1e+20
2022-01-05 10:24:27.125826,1e+20
2022-01-05 10:26:04.573199,1e+20
2022-01-05 10:38:03.790388,1e+20
2022-01-05 10:42:08.192759,1e+20
2022-01-05 10:42:53.344027,1e+20
2022-01-05 10:43:01.795052,1e+20
2022-01-05 10:46:14.103302,1e+20
2022-01-05 10:47:03.053922,1e+20
2022-01-05 10:47:05.236542,1e+20
2022-01-05 10:47:10.159640,1e+20
2022-01-05 10:47:27.774774,1e+20
2022-01-05 10:47:34.225756,1e+20
2022-01-05 10:47:44.058913,1e+20
2022-01-05 10:48:04.340995,1e+20
2022-01-05 10:48:57.303874,1e+20
2022-01-05 10:51:43.343991,1e+20
2022-01-05 10:51:51.476083,1e+20
2022-01-05 10:54:04.058319,1e+20
2022-01-05 10:54:58.017228,1e+20
2022-01-05 10:55:54.288195,1e+20
2022-01-05 10:56:03.782872,1e+20
2022-01-05 10:56:04.333511,1e+20
2022-01-05 10:57:24.677549,1e+20
2022-01-05 10:57:39.872044,1e+20
2022-01-05 10:59:59.533504,1e+20
2022-01-05 11:01:07.083637,1e+20
